0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/balance?type=16 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/categories?type=1 HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/categories?type=0 HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/transactions?type=15 HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/category/191 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/category/192 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/category/2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/category/2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/transactions?type=16 HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:17 +0300] "GET /spring-rest-demo/tms/category/185 HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/7 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/199 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/200 HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/9 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/10 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/12 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/185 HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/May/2020:00:15:18 +0300] "GET /spring-rest-demo/tms/category/4 HTTP/1.1" 200 101
